date,num
4月1日,2595
4月2日,2741
4月3日,2753
4月4日,2451
4月5日,1554
4月7日,3456
4月8日,3405
4月9日,3467
4月10日,3630
4月11日,2758
4月12日,2094
4月13日,3444
4月14日,4302
4月15日,4570
4月16日,4519
4月17日,4722
4月18日,4032
4月19日,2893
4月20日,4328
